Codigo Aluno,Matemática,Português,Ciências,L.E. Inglês,História,Geografia,MediaAno,Interpretação gráfica do desempenho
8º ano,8,9,8,"7,5",9,"8,3","8,3",
9º ano,9,"9,3","8,5","9,3","8,8","9,2","9,01",
MédiaG Discip,"8,11","8,7","8,16","8,85","8,28","8,48","8,4",
10021,,,,,,,,
4º ano,"8,6","8,8","8,6",***,"8,5","8,6","8,62",
5º ano,"8,1",8,"8,5",***,"8,3",8,"8,18",
6º ano,"7,3","7,1","7,3","8,5",8,7,"7,53",
7º ano,"5,9",7,"8,1","8,6",8,"7,6","7,53",
8º ano,"7,8","7,5",7,"8,8","8,3","7,8","7,86",
9º ano,"7,2","6,3","7,8","6,5","7,3","6,2","6,88",
MédiaG Discip,"7,48","7,45","7,88","8,1","8,06","7,53","7,732",
10022,,,,,,,,
4º ano,"9,3","8,8",9,***,"8,1","8,8","8,8",
5º ano,"8,6","8,6","9,3",***,"9,5","9,1","9,02",
6º ano,"8,8",9,"9,5","8,8","8,8","9,5","9,06",
7º ano,9,"9,1",9,"9,3",9,"8,5","8,98",
8º ano,"8,8","9,8","8,8",9,9,"9,8","9,2",
9º ano,"9,7","9,5",9,"8,8","8,8","9,3","9,18",
MédiaG Discip,"9,03","9,13","9,1","8,97","8,86","9,16","9,05",
10023,,,,,,,,
4º ano,10,"9,6",10,***,10,10,"9,92",
5º ano,9,"8,6","9,3",***,"9,8",10,"9,34",
6º ano,"7,3",7,"7,8","7,6","7,8",***,"7,5",
7º ano,"5,2","6,5",7,6,"5,8","7,2","6,28",
8º ano,"7,5","7,5",9,7,"8,5",8,"7,91",
9º ano,"8,5",7,"8,2","7,5",7,"7,7","7,65",
MédiaG Discip,"7,91","7,7","8,55","7,02","8,15","8,58","8,027",
10024,,,,,,,,
4º ano,"7,1",7,"7,3",***,"7,5","7,3","7,24",
5º ano,"7,3","7,8","9,3",***,"8,8","8,5","8,34",
6º ano,"5,9",7,7,"7,5","5,5","5,3","6,36",
7º ano,"7,5","6,3","6,3",6,7,"7,5","6,76",
8º ano,"8,8","7,8","7,3","7,5","7,5","7,5","7,73",
9º ano,"7,5","7,2","6,7","9,7","7,8","7,2","7,68",
MédiaG Discip,"7,35","7,18","7,31","7,67","7,35","7,21","7,329",
10025,,,,,,,,
4º ano,6,6,8,***,8,8,"7,2",
5º ano,"7,1","7,1","7,5",***,8,"8,1","7,56",
6º ano,8,7,***,6,9,6,"7,2",
7º ano,"7,6",8,"7,6",7,"7,5","7,5","7,53",
8º ano,"7,5","8,5","7,8","9,3","8,3","8,3","8,28",
9º ano,"9,7",9,"7,3","8,8","8,5","8,5","8,63",
MédiaG Discip,"7,65","7,6","7,64","7,77","8,21","7,73","7,703",
10026,,,,,,,,
4º ano,"7,8","7,8","8,1",***,"7,3",7,"7,6",
5º ano,"7,1",7,7,***,"7,6","7,3","7,2",
6º ano,"7,8","5,7","7,6",7,7,"7,5","7,1",
7º ano,"5,4",5,"7,2",8,"7,1","7,1","6,63",
8º ano,"8,8","7,3",8,"7,8","7,5","9,5","8,15",
9º ano,"8,5","8,5","7,7","9,5","8,3","8,5","8,5",
MédiaG Discip,"7,56","6,88","7,6","8,07","7,46","7,81","7,538",
10027,,,,,,,,
4º ano,"8,7","8,1","8,6",***,"7,9","8,1","8,28",
5º ano,"8,5","8,5","8,2",***,"7,9","8,9","8,4",
6º ano,"9,3",7,"8,1","9,3","8,3","8,8","8,46",
7º ano,9,"7,5","7,1","7,8","6,2","7,1","7,45",
8º ano,"8,8","7,3","7,5","7,3","7,5","7,3","7,61",
9º ano,"9,2","8,5",9,"9,8","8,8","8,2","8,91",
MédiaG Discip,"9,91","7,81","8,08","8,55","7,76","8,06","8,179",
10028,,,,,,,,
4º ano,8,"7,8","8,5",***,"8,5",8,"8,16",
5º ano,"7,3","7,1","7,6",***,"7,3","7,6","7,38",
6º ano,7,"5,8","8,3","8,8","7,1","7,5","7,41",
7º ano,"5,1","5,2",7,"7,6","6,2","8,3","6,56",
8º ano,"7,2","6,7",10,9,"5,8",9,"7,95",
9º ano,6,"6,8","7,5",7,"6,7","6,8","6,8",
MédiaG Discip,"6,76","6,56","8,15","8,1","6,93","7,86","7,355",
10029,,,,,,,,
4º ano,"7,6","7,8",8,***,"7,8","7,8","7,8",
5º ano,"5,3","7,8","8,3",***,8,"8,5","7,58",
6º ano,"7,8","8,5","8,3","8,3","7,5","7,8","8,03",
7º ano,"8,3",7,"8,1","8,3","8,5","8,1","8,05",
8º ano,"7,8",7,10,9,"7,3","8,3","8,23",
9º ano,"8,2","8,3","8,5","8,2","8,7",9,"8,48",
MédiaG Discip,"7,5","7,73","8,53","8,45","7,96","8,25","8,05",
10030,,,,,,,,
4º ano,"7,6","7,6","7,1",***,8,8,"7,66",
5º ano,"7,6","7,1","7,3",***,"6,4","7,3","7,14",
6º ano,6,"5,7","7,3","6,9","8,1",7,"6,83",
7º ano,"7,5",7,7,"7,6","8,4",5,"7,08",
8º ano,"8,3",9,"9,5","8,3","9,5","9,8","9,06",
9º ano,6,"6,7",8,"7,5","6,2",9,"7,23",
MédiaG Discip,"7,16","7,18","7,7","7,57","7,76","7,68","7,508",
10031,,,,,,,,
